"Participant","Sex","Condition","Item","Real","Attractive","Beauty"
"S094","Female","Photograph","NF-1044",0.166666666666667,0,0.333333333333333
"S094","Female","AI-Generated","NF-1012",0.333333333333333,0,0.166666666666667
"S094","Female","Photograph","NF-1051",0.833333333333333,0,0.5
"S094","Female","Photograph","NF-1036",0.833333333333333,0,0.166666666666667
"S094","Female","Photograph","NF-1098",0,0,0.333333333333333
"S094","Female","Photograph","NF-1097",0.833333333333333,0,0.5
"S094","Female","AI-Generated","NF-1025",0.166666666666667,0,0.166666666666667
"S094","Female","Photograph","NF-1016",0.333333333333333,0,0.333333333333333
"S094","Female","Photograph","NM-1027",0,0,0
"S094","Female","AI-Generated","NM-1064",0.833333333333333,0,0.5
"S094","Female","AI-Generated","NF-1076",0.166666666666667,0,0.666666666666667
"S094","Female","AI-Generated","NM-1070",0.833333333333333,0,0
"S094","Female","Photograph","NF-1107",0.333333333333333,0,0.166666666666667
"S094","Female","AI-Generated","NF-1110",0.333333333333333,0,0.166666666666667
"S094","Female","AI-Generated","NF-1059",0.333333333333333,0,0
"S094","Female","AI-Generated","NF-1045",1,0,0.333333333333333
"S094","Female","Photograph","NF-1009",0.166666666666667,0,0.5
"S094","Female","Photograph","NF-1095",0.833333333333333,0,0.333333333333333
"S094","Female","AI-Generated","NM-1074",0.166666666666667,0,0
"S094","Female","Photograph","NF-1072",1,0,0.5
"S094","Female","Photograph","NF-1015",1,0.166666666666667,0.5
"S094","Female","AI-Generated","NF-1065",0,0,0.5
"S094","Female","Photograph","NF-1047",0,0,0.166666666666667
"S094","Female","AI-Generated","NF-1006",0.833333333333333,0,0
"S094","Female","Photograph","NF-1032",1,0.166666666666667,0.833333333333333
"S094","Female","Photograph","NF-1005",0.666666666666667,0,0.333333333333333
"S094","Female","AI-Generated","NF-1039",1,0.166666666666667,0.5
"S094","Female","Photograph","NM-1092",0.833333333333333,0,0
"S094","Female","Photograph","NF-1084",0,0,0.5
"S094","Female","AI-Generated","NF-1023",0.833333333333333,0,0.333333333333333
"S055","Female","Photograph","NM-1092",0.666666666666667,0.166666666666667,0.166666666666667
"S055","Female","Photograph","NM-1074",0.166666666666667,0.333333333333333,0.5
"S055","Female","Photograph","NM-1102",0,0.5,0.5
"S055","Female","Photograph","NM-1091",0.833333333333333,0.5,0.5
"S055","Female","AI-Generated","NM-1052",0.666666666666667,0.333333333333333,0.333333333333333
"S055","Female","AI-Generated","NM-1038",0.333333333333333,0.5,0.5
"S055","Female","AI-Generated","NM-1070",0.5,0.166666666666667,0.166666666666667
"S055","Female","Photograph","NM-1064",0.666666666666667,0.333333333333333,0.333333333333333
"S055","Female","Photograph","NM-1058",0,0.333333333333333,0.333333333333333
"S055","Female","AI-Generated","NM-1007",1,0.166666666666667,0.166666666666667
"S055","Female","AI-Generated","NM-1090",0.166666666666667,0.333333333333333,0.333333333333333
"S055","Female","AI-Generated","NM-1010",0,0.5,0.5
"S055","Female","Photograph","NM-1035",0.5,0.166666666666667,0.166666666666667
"S055","Female","AI-Generated","NM-1027",0.833333333333333,0.166666666666667,0.166666666666667
"S055","Female","Photograph","NM-1019",0.333333333333333,0.166666666666667,0.166666666666667
"S055","Female","AI-Generated","NM-1055",1,0.333333333333333,0.333333333333333
"S055","Female","Photograph","NM-1011",0.833333333333333,0.166666666666667,0.166666666666667
"S055","Female","AI-Generated","NM-1029",0.333333333333333,0.5,0.5
"S055","Female","AI-Generated","NM-1104",0.333333333333333,0.5,0.5
"S055","Female","Photograph","NM-1033",1,0.333333333333333,0.333333333333333
"S201","Female","Photograph","NM-1052",0.5,0.166666666666667,0.166666666666667
"S201","Female","Photograph","NM-1038",0.666666666666667,0.833333333333333,0.833333333333333
"S201","Female","AI-Generated","NM-1035",0.5,0.833333333333333,0.5
"S201","Female","AI-Generated","NM-1011",0.166666666666667,0.333333333333333,0.333333333333333
"S201","Female","AI-Generated","NM-1091",0.333333333333333,0.166666666666667,0.166666666666667
"S201","Female","Photograph","NM-1010",0,0,0
"S201","Female","Photograph","NM-1029",0.333333333333333,0,0
"S201","Female","AI-Generated","NM-1058",0.666666666666667,1,1
"S201","Female","AI-Generated","NM-1064",0.5,0.833333333333333,0.666666666666667
"S201","Female","Photograph","NM-1090",0.333333333333333,0.166666666666667,0.166666666666667
"S201","Female","AI-Generated","NM-1019",0.5,0.166666666666667,0.166666666666667
"S201","Female","Photograph","NM-1027",0.666666666666667,0.166666666666667,0.166666666666667
"S201","Female","AI-Generated","NM-1074",0.666666666666667,0,0.166666666666667
"S201","Female","Photograph","NM-1092",0,0,0.166666666666667
"S201","Female","Photograph","NM-1070",0.333333333333333,0.333333333333333,0.5
"S201","Female","AI-Generated","NM-1033",0.333333333333333,0,0.166666666666667
"S201","Female","AI-Generated","NM-1055",0.333333333333333,0.166666666666667,0.166666666666667
"S201","Female","Photograph","NM-1007",0.333333333333333,0,0.166666666666667
"S201","Female","Photograph","NM-1104",0.166666666666667,0,0.166666666666667
"S201","Female","AI-Generated","NM-1102",0.5,0,0
"S079","Male","Photograph","NF-1003",0.833333333333333,0.166666666666667,0.5
"S079","Male","AI-Generated","NF-1009",0.166666666666667,0.5,0.5
"S079","Male","Photograph","NF-1057",1,0.166666666666667,0.166666666666667
"S079","Male","AI-Generated","NF-1065",0.833333333333333,0.333333333333333,0.5
"S079","Male","Photograph","NF-1051",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1075",0.166666666666667,0,0.166666666666667
"S079","Male","Photograph","NF-1077",1,0,0.333333333333333
"S079","Male","Photograph","NF-1020",0.833333333333333,0,0.166666666666667
"S079","Male","AI-Generated","NF-1056",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1047",1,0,0.166666666666667
"S079","Male","Photograph","NF-1025",0.166666666666667,0,0.166666666666667
"S079","Male","Photograph","NF-1034",0.833333333333333,0,0.166666666666667
"S079","Male","Photograph","NF-1079",0.166666666666667,0.166666666666667,0.5
"S079","Male","Photograph","NF-1080",0.833333333333333,0.166666666666667,0.5
"S079","Male","Photograph","NF-1071",0.166666666666667,0,0.166666666666667
"S079","Male","Photograph","NF-1062",0.833333333333333,0,0.333333333333333
"S079","Male","AI-Generated","NF-1103",1,0,0.166666666666667
"S079","Male","AI-Generated","NF-1013",0,0.166666666666667,0.166666666666667
"S079","Male","AI-Generated","NF-1067",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1008",0.333333333333333,0.333333333333333,0.5
"S079","Male","Photograph","NF-1030",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1053",0.333333333333333,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1106",0.166666666666667,0,0.333333333333333
"S079","Male","AI-Generated","NF-1083",1,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1042",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1016",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1022",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1049",0.833333333333333,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1108",0.833333333333333,0.333333333333333,0.5
"S079","Male","AI-Generated","NF-1085",0,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1098",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1044",0.833333333333333,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1063",1,0.5,0.5
"S079","Male","AI-Generated","NF-1005",1,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1097",0,0.166666666666667,0.5
"S079","Male","Photograph","NF-1032",0.5,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1088",0.833333333333333,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1107",0.166666666666667,0,0.333333333333333
"S079","Male","AI-Generated","NF-1094",0.166666666666667,0.166666666666667,0.5
"S079","Male","Photograph","NF-1095",0.333333333333333,0,0.333333333333333
"S079","Male","AI-Generated","NF-1084",1,0,0.333333333333333
"S079","Male","AI-Generated","NF-1014",0.166666666666667,0,0.166666666666667
"S079","Male","Photograph","NF-1059",0,0,0.166666666666667
"S079","Male","Photograph","NF-1037",0.166666666666667,0,0.333333333333333
"S079","Male","Photograph","NF-1006",1,0,0.166666666666667
"S079","Male","Photograph","NF-1060",1,0,0.333333333333333
"S079","Male","Photograph","NF-1081",0.833333333333333,0,0.166666666666667
"S079","Male","AI-Generated","NF-1031",0.833333333333333,0,0.166666666666667
"S079","Male","AI-Generated","NF-1017",1,0.166666666666667,0.5
"S079","Male","Photograph","NF-1015",0.833333333333333,0,0.333333333333333
"S079","Male","AI-Generated","NF-1096",0.5,0.166666666666667,0.5
"S079","Male","AI-Generated","NF-1041",0.333333333333333,0,0.166666666666667
"S079","Male","Photograph","NF-1099",0.333333333333333,0,0.166666666666667
"S079","Male","Photograph","NF-1054",0.5,0,0.333333333333333
"S079","Male","AI-Generated","NF-1076",0.333333333333333,0.333333333333333,0.5
"S079","Male","Photograph","NF-1086",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1109",0.166666666666667,0,0.166666666666667
"S079","Male","Photograph","NF-1101",0.166666666666667,0,0.333333333333333
"S079","Male","Photograph","NF-1050",0.833333333333333,0,0.333333333333333
"S079","Male","Photograph","NF-1073",1,0.333333333333333,0.5
"S079","Male","AI-Generated","NF-1087",0.166666666666667,0,0.166666666666667
"S079","Male","AI-Generated","NF-1082",0.5,0,0.166666666666667
"S079","Male","Photograph","NF-1021",0.166666666666667,0.166666666666667,0.5
"S079","Male","AI-Generated","NF-1046",0.166666666666667,0.333333333333333,0.666666666666667
"S079","Male","Photograph","NF-1069",0.166666666666667,0.333333333333333,0.333333333333333
"S079","Male","AI-Generated","NF-1110",0.166666666666667,0,0.333333333333333
"S079","Male","AI-Generated","NF-1048",1,0.166666666666667,0.5
"S079","Male","Photograph","NF-1039",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1028",0.833333333333333,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1100",0.833333333333333,0.333333333333333,0.5
"S079","Male","AI-Generated","NF-1024",0.166666666666667,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1045",1,0.333333333333333,0.5
"S079","Male","Photograph","NF-1066",0.166666666666667,0,0.333333333333333
"S079","Male","Photograph","NF-1093",0.5,0,0.333333333333333
"S079","Male","Photograph","NF-1072",0,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1023",0,0,0.333333333333333
"S079","Male","AI-Generated","NF-1068",0.166666666666667,0,0.333333333333333
"S079","Male","AI-Generated","NF-1018",1,0.333333333333333,0.5
"S079","Male","AI-Generated","NF-1043",0.833333333333333,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1061",0.5,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1012",0.5,0,0.333333333333333
"S079","Male","AI-Generated","NF-1089",0.5,0.166666666666667,0.333333333333333
"S079","Male","AI-Generated","NF-1004",0.833333333333333,0,0.166666666666667
"S079","Male","Photograph","NF-1036",0.5,0,0.333333333333333
"S079","Male","Photograph","NF-1002",0.5,0,0.333333333333333
"S079","Male","AI-Generated","NF-1105",0.666666666666667,0,0.333333333333333
"S079","Male","AI-Generated","NF-1026",0,0,0.333333333333333
"S079","Male","Photograph","NF-1040",0.666666666666667,0.166666666666667,0.333333333333333
"S079","Male","Photograph","NF-1001",0.5,0,0.333333333333333
"S087","Male","AI-Generated","NF-1095",0.166666666666667,0.333333333333333,0.166666666666667
"S087","Male","AI-Generated","NF-1013",0.166666666666667,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1048",0.333333333333333,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1084",0.166666666666667,0.166666666666667,0.166666666666667
"S087","Male","AI-Generated","NF-1036",0.833333333333333,0.166666666666667,0.333333333333333
"S087","Male","Photograph","NF-1107",0.166666666666667,0,0
"S087","Male","AI-Generated","NF-1099",0.833333333333333,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1001",0.333333333333333,0,0
"S087","Male","Photograph","NF-1100",0.5,0.166666666666667,0
"S087","Male","Photograph","NF-1068",0,0,0
"S087","Male","Photograph","NF-1045",0.666666666666667,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1075",0.166666666666667,0,0
"S087","Male","Photograph","NF-1098",0.666666666666667,0.166666666666667,0.166666666666667
"S087","Male","AI-Generated","NF-1009",0.333333333333333,0,0
"S087","Male","Photograph","NF-1071",0.166666666666667,0,0
"S087","Male","Photograph","NF-1065",0.166666666666667,0.166666666666667,0
"S087","Male","AI-Generated","NF-1050",0.166666666666667,0,0
"S087","Male","Photograph","NF-1076",0,0,0
"S087","Male","AI-Generated","NF-1012",0.166666666666667,0,0
"S087","Male","AI-Generated","NF-1037",0.666666666666667,0,0
"S087","Male","AI-Generated","NF-1016",0.666666666666667,0,0
"S087","Male","Photograph","NF-1069",0.333333333333333,0,0
"S087","Male","Photograph","NF-1088",0.5,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1057",0,0.166666666666667,0
"S087","Male","Photograph","NF-1059",0.166666666666667,0.333333333333333,0.166666666666667
"S087","Male","AI-Generated","NF-1073",0.333333333333333,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1030",0.333333333333333,0.5,0.333333333333333
"S087","Male","Photograph","NF-1067",0.333333333333333,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1060",0.166666666666667,0.166666666666667,0.166666666666667
"S087","Male","Photograph","NF-1103",0.833333333333333,0.5,0.333333333333333
"S087","Male","Photograph","NF-1066",0,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1080",0.666666666666667,0.5,0.5
"S087","Male","AI-Generated","NF-1093",1,0.333333333333333,0.166666666666667
"S087","Male","Photograph","NF-1087",0.333333333333333,0,0
"S087","Male","Photograph","NF-1101",0.333333333333333,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1049",0.333333333333333,0.166666666666667,0.166666666666667
"S087","Male","Photograph","NF-1043",0.333333333333333,0.166666666666667,0.166666666666667
"S087","Male","AI-Generated","NF-1082",0.666666666666667,0.5,0.333333333333333
"S087","Male","Photograph","NF-1041",0.333333333333333,0.5,0.5
"S087","Male","AI-Generated","NF-1005",0.333333333333333,0.5,0.5
"S087","Male","Photograph","NF-1109",0.166666666666667,0.166666666666667,0.166666666666667
"S087","Male","AI-Generated","NF-1042",0.666666666666667,0.5,0.5
"S087","Male","Photograph","NF-1006",0.666666666666667,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1086",0.5,0.5,0.5
"S087","Male","AI-Generated","NF-1014",0.833333333333333,0.5,0.333333333333333
"S087","Male","Photograph","NF-1021",0.333333333333333,0.5,0.333333333333333
"S087","Male","Photograph","NF-1025",0.666666666666667,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1062",0.166666666666667,0.5,0.333333333333333
"S087","Male","Photograph","NF-1002",0.666666666666667,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1079",0,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1034",0.333333333333333,0.166666666666667,0.333333333333333
"S087","Male","Photograph","NF-1097",0.666666666666667,0.333333333333333,0.5
"S087","Male","AI-Generated","NF-1031",0.166666666666667,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1105",0.5,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1072",0.333333333333333,0.5,0.333333333333333
"S087","Male","Photograph","NF-1096",0.166666666666667,0.166666666666667,0.166666666666667
"S087","Male","AI-Generated","NF-1056",0.333333333333333,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1061",0.333333333333333,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1017",0.833333333333333,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1003",0.333333333333333,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1083",0.5,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1077",0.666666666666667,0.5,0.5
"S087","Male","AI-Generated","NF-1044",0.166666666666667,0.166666666666667,0.166666666666667
"S087","Male","Photograph","NF-1106",0.166666666666667,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1108",0.166666666666667,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1032",0.166666666666667,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1024",0.333333333333333,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1063",0.333333333333333,0.166666666666667,0.333333333333333
"S087","Male","Photograph","NF-1110",0.166666666666667,0.166666666666667,0.166666666666667
"S087","Male","Photograph","NF-1018",0.5,0.666666666666667,0.5
"S087","Male","Photograph","NF-1004",0.333333333333333,0,0
"S087","Male","Photograph","NF-1089",0,0.166666666666667,0.166666666666667
"S087","Male","AI-Generated","NF-1039",0.333333333333333,0,0
"S087","Male","AI-Generated","NF-1051",0.333333333333333,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1047",0.166666666666667,0.166666666666667,0.333333333333333
"S087","Male","AI-Generated","NF-1054",0.166666666666667,0.5,0.5
"S087","Male","AI-Generated","NF-1053",0,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1028",0.833333333333333,0.5,0.5
"S087","Male","AI-Generated","NF-1008",0.666666666666667,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1094",0.166666666666667,0.5,0.5
"S087","Male","Photograph","NF-1026",0.666666666666667,0,0
"S087","Male","AI-Generated","NF-1046",0.333333333333333,0.166666666666667,0.166666666666667
"S087","Male","AI-Generated","NF-1022",0.166666666666667,0.5,0.5
"S087","Male","AI-Generated","NF-1015",0.833333333333333,0.5,0.333333333333333
"S087","Male","AI-Generated","NF-1085",0.666666666666667,0.333333333333333,0.333333333333333
"S087","Male","Photograph","NF-1020",0.166666666666667,0.333333333333333,0.333333333333333
"S087","Male","AI-Generated","NF-1040",0.833333333333333,0.166666666666667,0.166666666666667
"S087","Male","Photograph","NF-1081",0.166666666666667,0.166666666666667,0.166666666666667
"S087","Male","Photograph","NF-1023",0.833333333333333,0.333333333333333,0.333333333333333
"S112","Female","AI-Generated","NM-1019",0.333333333333333,0.333333333333333,0.5
"S112","Female","AI-Generated","NM-1070",0.666666666666667,0.666666666666667,0.5
"S112","Female","Photograph","NM-1010",1,0.666666666666667,0.666666666666667
"S112","Female","AI-Generated","NM-1038",0.333333333333333,0.666666666666667,0.5
"S112","Female","AI-Generated","NM-1102",0,0.666666666666667,0.666666666666667
"S112","Female","Photograph","NM-1064",0.833333333333333,0.333333333333333,0.5
"S112","Female","Photograph","NM-1035",0.666666666666667,0.333333333333333,0.666666666666667
"S112","Female","AI-Generated","NM-1027",0.666666666666667,0.5,0.666666666666667
"S112","Female","Photograph","NM-1029",0.166666666666667,0.166666666666667,0.333333333333333
"S112","Female","AI-Generated","NM-1090",0.333333333333333,0.333333333333333,0.5
"S112","Female","Photograph","NM-1092",0.166666666666667,0.333333333333333,0.333333333333333
"S112","Female","Photograph","NM-1104",0.666666666666667,0.5,0.5
"S112","Female","AI-Generated","NM-1058",1,0.666666666666667,0.666666666666667
"S112","Female","AI-Generated","NM-1033",1,0.333333333333333,0.5
"S112","Female","Photograph","NM-1074",0.666666666666667,0.5,0.5
"S112","Female","AI-Generated","NM-1052",1,0.666666666666667,0.5
"S112","Female","Photograph","NM-1091",1,0.5,0.5
"S112","Female","AI-Generated","NM-1055",0.833333333333333,0.333333333333333,0.333333333333333
"S112","Female","Photograph","NM-1007",1,0.166666666666667,0.333333333333333
"S112","Female","Photograph","NM-1011",1,0.666666666666667,0.666666666666667
"S049","Male","Photograph","NF-1073",0.166666666666667,0.166666666666667,0.333333333333333
"S049","Male","AI-Generated","NF-1057",0,0.166666666666667,0.5
"S049","Male","AI-Generated","NF-1028",0.833333333333333,0.5,0.5
"S049","Male","Photograph","NF-1059",0.166666666666667,0.5,0.666666666666667
"S049","Male","Photograph","NF-1004",0.333333333333333,0.333333333333333,0.5
"S049","Male","Photograph","NF-1103",0.5,0.166666666666667,0.5
"S049","Male","AI-Generated","NF-1054",0.666666666666667,0.5,0.666666666666667
"S049","Male","Photograph","NF-1026",0,0.166666666666667,0.333333333333333
"S049","Male","AI-Generated","NF-1043",0.333333333333333,0.5,0.5
"S049","Male","Photograph","NF-1085",0,0.5,0.666666666666667
"S049","Male","Photograph","NF-1039",0.666666666666667,0.5,0.666666666666667
"S049","Male","Photograph","NF-1093",0.833333333333333,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1099",0.833333333333333,0.333333333333333,0.5
"S049","Male","Photograph","NF-1071",0,0.333333333333333,0.333333333333333
"S049","Male","Photograph","NF-1082",0,0.5,0.5
"S049","Male","Photograph","NF-1068",0,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1018",0,0.666666666666667,0.833333333333333
"S049","Male","Photograph","NF-1014",0,0.166666666666667,0.333333333333333
"S049","Male","Photograph","NF-1021",0.333333333333333,0.333333333333333,0.666666666666667
"S049","Male","Photograph","NF-1042",0.666666666666667,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1089",0,0.5,0.666666666666667
"S049","Male","Photograph","NF-1072",0.333333333333333,0.5,0.666666666666667
"S049","Male","AI-Generated","NF-1045",0.666666666666667,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1105",0.833333333333333,0.5,0.5
"S049","Male","Photograph","NF-1084",0.833333333333333,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1065",0.833333333333333,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1080",0.333333333333333,0.333333333333333,0.666666666666667
"S049","Male","Photograph","NF-1106",0.833333333333333,0.5,0.5
"S049","Male","AI-Generated","NF-1023",0.5,0.333333333333333,0.5
"S049","Male","Photograph","NF-1100",0.166666666666667,0.5,0.833333333333333
"S049","Male","AI-Generated","NF-1109",0.5,0.166666666666667,0.166666666666667
"S049","Male","AI-Generated","NF-1047",0.166666666666667,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1083",0.333333333333333,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1051",0.666666666666667,0,0
"S049","Male","Photograph","NF-1036",0.166666666666667,0.5,0.5
"S049","Male","AI-Generated","NF-1098",1,0.333333333333333,0.333333333333333
"S049","Male","Photograph","NF-1046",0.666666666666667,0.666666666666667,0.666666666666667
"S049","Male","Photograph","NF-1107",0.833333333333333,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1032",0.166666666666667,0.666666666666667,0.833333333333333
"S049","Male","AI-Generated","NF-1037",0.333333333333333,0.333333333333333,0.333333333333333
"S049","Male","Photograph","NF-1062",0.666666666666667,0.5,0.5
"S049","Male","Photograph","NF-1066",0.666666666666667,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1076",0,0.5,0.833333333333333
"S049","Male","Photograph","NF-1088",0,0.333333333333333,0.5
"S049","Male","Photograph","NF-1097",0,0.333333333333333,0.5
"S049","Male","Photograph","NF-1003",0.333333333333333,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1044",0.333333333333333,0.333333333333333,0.333333333333333
"S049","Male","Photograph","NF-1050",0.666666666666667,0.333333333333333,0.5
"S049","Male","Photograph","NF-1075",0.666666666666667,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1096",0.833333333333333,0.333333333333333,0.333333333333333
"S049","Male","Photograph","NF-1015",0.833333333333333,0.333333333333333,0.5
"S049","Male","Photograph","NF-1063",0,0.666666666666667,0.833333333333333
"S049","Male","Photograph","NF-1056",0.833333333333333,0.5,0.5
"S049","Male","Photograph","NF-1040",1,0.5,0.5
"S049","Male","AI-Generated","NF-1020",0.666666666666667,0.5,0.666666666666667
"S049","Male","AI-Generated","NF-1049",0,0.333333333333333,0.666666666666667
"S049","Male","Photograph","NF-1048",0.666666666666667,0.5,0.5
"S049","Male","Photograph","NF-1060",1,0.333333333333333,0.5
"S049","Male","Photograph","NF-1061",0.666666666666667,0.5,0.666666666666667
"S049","Male","Photograph","NF-1030",0.166666666666667,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1022",0.833333333333333,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1087",0.666666666666667,0.166666666666667,0.333333333333333
"S049","Male","Photograph","NF-1069",0.166666666666667,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1094",1,0.666666666666667,0.666666666666667
"S049","Male","AI-Generated","NF-1053",0.666666666666667,0.333333333333333,0.5
"S049","Male","Photograph","NF-1079",0.166666666666667,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1005",1,0.666666666666667,0.833333333333333
"S049","Male","Photograph","NF-1017",0.166666666666667,0.5,0.666666666666667
"S049","Male","Photograph","NF-1086",0.333333333333333,0.833333333333333,0.666666666666667
"S049","Male","AI-Generated","NF-1025",0.333333333333333,0.166666666666667,0.333333333333333
"S049","Male","AI-Generated","NF-1095",0.166666666666667,0.333333333333333,0.5
"S049","Male","Photograph","NF-1013",0.333333333333333,0.166666666666667,0.5
"S049","Male","AI-Generated","NF-1006",1,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1008",0.166666666666667,0.666666666666667,0.666666666666667
"S049","Male","Photograph","NF-1077",0.666666666666667,0.333333333333333,0.5
"S049","Male","AI-Generated","NF-1001",0.833333333333333,0.166666666666667,0.166666666666667
"S049","Male","AI-Generated","NF-1009",0,0.5,0.666666666666667
"S049","Male","Photograph","NF-1024",0,0.5,0.5
"S049","Male","AI-Generated","NF-1034",0,0.5,0.5
"S049","Male","AI-Generated","NF-1012",0,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1108",1,0.666666666666667,0.833333333333333
"S049","Male","AI-Generated","NF-1081",0,0.5,0.5
"S049","Male","AI-Generated","NF-1016",0.833333333333333,0.333333333333333,0.5
"S049","Male","Photograph","NF-1041",0.666666666666667,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1110",0,0.166666666666667,0.166666666666667
"S049","Male","AI-Generated","NF-1002",0.833333333333333,0.166666666666667,0.333333333333333
"S049","Male","AI-Generated","NF-1067",0.333333333333333,0.5,0.666666666666667
"S049","Male","Photograph","NF-1031",0.166666666666667,0.333333333333333,0.333333333333333
"S049","Male","AI-Generated","NF-1101",0.833333333333333,0.5,0.666666666666667
"S057","Male","Photograph","NF-1046",0.333333333333333,0.666666666666667,0.666666666666667
"S057","Male","Photograph","NF-1001",0.166666666666667,0.333333333333333,0.333333333333333
"S057","Male","AI-Generated","NF-1100",1,0.5,0.5
"S057","Male","Photograph","NF-1004",0.333333333333333,0.666666666666667,0.666666666666667
"S057","Male","AI-Generated","NF-1005",0.5,0.5,0.5
"S057","Male","Photograph","NF-1082",0.5,0.5,0.5
"S057","Male","AI-Generated","NF-1097",0,0.833333333333333,0.833333333333333
"S057","Male","Photograph","NF-1057",0,0.166666666666667,0.166666666666667
"S057","Male","AI-Generated","NF-1077",0.833333333333333,0.666666666666667,0.666666666666667
"S057","Male","AI-Generated","NF-1105",0.833333333333333,0.833333333333333,0.833333333333333
"S057","Male","Photograph","NF-1069",0.166666666666667,0.5,0.5
"S057","Male","AI-Generated","NF-1047",0.5,0.333333333333333,0.333333333333333
"S057","Male","AI-Generated","NF-1098",0.833333333333333,0.833333333333333,0.833333333333333
"S057","Male","Photograph","NF-1050",0.5,0.333333333333333,0.333333333333333
"S057","Male","AI-Generated","NF-1003",0.833333333333333,0.833333333333333,0.833333333333333
"S057","Male","Photograph","NF-1109",0,0.333333333333333,0.333333333333333
